index,data
1514,"[16, 1, 79, 39, 15, 68, 8, 42, 61, 80]"
1515,"[74, 45, 6, 76, 34, 17, 43, 8, 10, 40]"
1516,"[47, 57, 61, 46, 22, 20, 53, 44, 3, 5]"
1517,"[5, 1, 53, 35, 68, 15, 72, 34, 69, 3]"
1518,"[15, 32, 58, 13, 53, 51, 21, 65, 31, 69]"
1519,"[73, 56, 60, 36, 29, 20, 71, 55, 38, 22]"
1520,"[49, 6, 27, 18, 25, 8, 74, 37, 43, 38]"
1521,"[53, 70, 9, 41, 29, 14, 57, 23, 26, 18]"
1522,"[31, 70, 53, 34, 3, 43, 24, 9, 35, 80]"
1523,"[23, 16, 63, 14, 9, 5, 3, 74, 75, 43]"
1524,"[65, 19, 41, 49, 22, 46, 18, 63, 77, 78]"
1525,"[26, 14, 31, 1, 78, 45, 49, 40, 57, 4]"
1526,"[62, 52, 50, 33, 48, 22, 49, 18, 69, 59]"
1527,"[8, 65, 77, 5, 25, 55, 16, 64, 15, 1]"
1528,"[8, 2, 27, 25, 45, 9, 51, 48, 75, 52]"
1529,"[55, 74, 36, 43, 19, 72, 17, 52, 7, 20]"
1530,"[12, 60, 27, 17, 57, 20, 16, 66, 6, 55]"
1531,"[13, 20, 59, 35, 30, 36, 5, 66, 34, 48]"
1532,"[37, 15, 71, 73, 55, 26, 48, 80, 4, 77]"
1533,"[50, 11, 39, 79, 2, 48, 78, 57, 13, 53]"
1534,"[39, 64, 2, 34, 18, 3, 1, 69, 31, 7]"
1535,"[30, 45, 56, 53, 78, 66, 37, 67, 39, 25]"
1536,"[8, 3, 45, 55, 39, 34, 49, 57, 31, 24]"
1537,"[53, 23, 21, 7, 58, 16, 36, 47, 26, 45]"
1538,"[77, 39, 48, 29, 63, 5, 4, 54, 10, 44]"
1539,"[11, 62, 34, 49, 20, 35, 17, 54, 12, 55]"
1540,"[62, 6, 40, 38, 33, 1, 63, 11, 55, 20]"
1541,"[12, 1, 32, 76, 72, 4, 38, 48, 43, 5]"
1542,"[43, 76, 29, 1, 35, 38, 75, 18, 49, 63]"
1543,"[64, 63, 9, 3, 41, 19, 67, 68, 77, 21]"
1544,"[18, 4, 40, 11, 10, 30, 64, 71, 28, 16]"
1545,"[43, 77, 58, 4, 67, 9, 13, 1, 22, 11]"
1546,"[64, 11, 41, 1, 69, 19, 43, 70, 68, 24]"
1547,"[42, 73, 44, 12, 3, 37, 13, 67, 62, 51]"
1548,"[14, 51, 53, 60, 34, 59, 74, 55, 79, 70]"
1549,"[1, 45, 57, 69, 70, 66, 9, 43, 76, 26]"
1550,"[13, 27, 49, 36, 26, 42, 50, 78, 61, 45]"
1551,"[1, 67, 19, 36, 52, 63, 45, 56, 30, 65]"
1552,"[29, 53, 46, 45, 15, 21, 6, 80, 33, 35]"
1553,"[48, 65, 2, 6, 51, 76, 60, 35, 27, 45]"
1554,"[7, 30, 26, 9, 8, 53, 69, 22, 35, 61]"
1555,"[16, 69, 32, 2, 13, 12, 17, 31, 41, 76]"
1556,"[68, 78, 41, 73, 3, 71, 34, 50, 11, 43]"
1557,"[57, 5, 34, 21, 44, 61, 35, 45, 75, 60]"
1558,"[69, 15, 62, 40, 37, 12, 2, 77, 6, 24]"
1559,"[35, 55, 6, 67, 15, 34, 50, 2, 71, 24]"
1560,"[30, 69, 41, 73, 37, 76, 36, 61, 5, 23]"
1561,"[57, 30, 51, 70, 11, 59, 62, 37, 66, 36]"
1562,"[73, 4, 44, 33, 19, 69, 10, 2, 61, 26]"
1563,"[38, 32, 61, 6, 68, 48, 66, 33, 80, 56]"
1564,"[38, 62, 78, 80, 28, 61, 70, 65, 30, 10]"
1565,"[54, 59, 55, 75, 56, 21, 68, 15, 69, 4]"
1566,"[66, 7, 45, 67, 60, 34, 10, 25, 15, 4]"
1567,"[35, 57, 78, 10, 71, 32, 60, 64, 69, 49]"
1568,"[9, 63, 55, 27, 47, 25, 49, 18, 48, 28]"
1569,"[62, 36, 80, 77, 55, 27, 7, 30, 70, 72]"
1570,"[35, 15, 14, 29, 10, 26, 34, 25, 44, 51]"
1571,"[53, 26, 31, 28, 13, 29, 74, 22, 12, 62]"
1572,"[10, 74, 14, 57, 69, 43, 50, 77, 1, 20]"
1573,"[12, 49, 15, 63, 61, 62, 13, 55, 59, 16]"
1574,"[77, 47, 61, 23, 14, 73, 41, 64, 50, 70]"
1575,"[68, 80, 29, 45, 74, 38, 1, 12, 32, 67]"
1576,"[7, 46, 21, 57, 70, 44, 72, 56, 61, 49]"
1577,"[22, 78, 72, 17, 80, 43, 34, 11, 68, 28]"
1578,"[58, 6, 66, 17, 54, 46, 45, 10, 13, 31]"
1579,"[43, 6, 76, 31, 62, 44, 64, 79, 9, 13]"
1580,"[77, 28, 78, 47, 17, 18, 16, 38, 80, 73]"
1581,"[48, 51, 37, 40, 63, 26, 43, 28, 55, 35]"
1582,"[58, 75, 20, 10, 9, 51, 74, 45, 24, 67]"
1583,"[61, 29, 54, 11, 75, 78, 31, 39, 63, 8]"
1584,"[15, 36, 3, 14, 7, 56, 55, 31, 58, 69]"
1585,"[40, 14, 45, 76, 72, 49, 42, 35, 57, 25]"
1586,"[47, 59, 45, 19, 79, 13, 39, 61, 4, 7]"
1587,"[7, 10, 56, 61, 49, 6, 57, 64, 28, 32]"
1588,"[76, 46, 14, 48, 2, 36, 20, 60, 32, 74]"
1589,"[44, 40, 68, 29, 74, 25, 55, 79, 67, 57]"
1590,"[56, 68, 61, 57, 9, 65, 24, 31, 60, 47]"
1591,"[4, 37, 77, 24, 26, 73, 34, 21, 17, 66]"
1592,"[4, 16, 48, 43, 15, 40, 27, 22, 13, 72]"
1593,"[64, 49, 27, 57, 21, 15, 56, 43, 5, 34]"
1594,"[3, 39, 55, 32, 10, 48, 51, 34, 37, 22]"
1595,"[34, 15, 64, 79, 59, 50, 35, 37, 65, 70]"
1596,"[35, 72, 59, 18, 71, 1, 26, 24, 5, 54]"
1597,"[17, 2, 43, 47, 19, 53, 44, 10, 7, 76]"
1598,"[1, 24, 76, 50, 70, 43, 12, 9, 73, 67]"
1599,"[33, 60, 7, 80, 79, 26, 39, 51, 70, 62]"
1600,"[26, 25, 23, 49, 24, 9, 70, 52, 30, 20]"
1601,"[79, 32, 30, 33, 4, 36, 28, 59, 38, 62]"
1602,"[13, 50, 56, 21, 11, 1, 8, 38, 75, 36]"
1603,"[44, 77, 30, 43, 41, 37, 65, 28, 79, 36]"
1604,"[16, 46, 39, 37, 64, 77, 72, 51, 26, 35]"
1605,"[26, 41, 2, 39, 62, 44, 54, 13, 46, 60]"
1606,"[55, 4, 76, 73, 19, 79, 15, 53, 69, 44]"
1607,"[66, 17, 76, 35, 15, 67, 40, 63, 46, 22]"
1608,"[22, 11, 2, 7, 55, 4, 32, 28, 9, 67]"
1609,"[22, 60, 57, 47, 27, 9, 77, 36, 28, 59]"
1610,"[68, 17, 47, 41, 37, 40, 77, 22, 32, 13]"
1611,"[5, 7, 37, 75, 65, 18, 69, 39, 71, 70]"
1612,"[8, 6, 2, 66, 78, 52, 32, 64, 40, 3]"
1613,"[50, 15, 80, 58, 61, 75, 77, 39, 73, 37]"
1614,"[80, 39, 37, 30, 60, 21, 46, 61, 74, 45]"
1615,"[32, 25, 65, 31, 9, 56, 26, 72, 42, 19]"
1616,"[61, 63, 52, 62, 45, 49, 44, 48, 76, 14]"
1617,"[36, 52, 27, 80, 62, 54, 5, 49, 45, 58]"
1618,"[18, 58, 67, 63, 29, 10, 17, 56, 80, 66]"
1619,"[74, 73, 48, 42, 4, 37, 53, 18, 28, 31]"
1620,"[25, 18, 61, 56, 57, 67, 40, 64, 2, 55]"
1621,"[15, 21, 53, 62, 40, 32, 57, 45, 25, 71]"
1622,"[53, 72, 18, 29, 15, 70, 68, 33, 24, 50]"
1623,"[59, 3, 72, 13, 14, 77, 41, 62, 78, 29]"
1624,"[72, 38, 27, 29, 44, 55, 53, 67, 66, 61]"
1625,"[38, 73, 56, 39, 77, 7, 64, 68, 67, 9]"
1626,"[3, 66, 10, 74, 65, 58, 70, 76, 48, 42]"
1627,"[17, 46, 50, 31, 7, 64, 9, 65, 70, 29]"
1628,"[27, 70, 73, 47, 65, 14, 16, 38, 48, 37]"
1629,"[2, 55, 78, 7, 37, 24, 15, 3, 65, 1]"
1630,"[62, 28, 33, 25, 24, 71, 5, 51, 77, 13]"
1631,"[4, 1, 16, 45, 54, 31, 52, 67, 66, 42]"
1632,"[73, 43, 41, 20, 9, 68, 2, 19, 16, 12]"
1633,"[19, 50, 16, 23, 39, 72, 5, 59, 64, 45]"
1634,"[75, 33, 63, 30, 65, 35, 3, 53, 14, 19]"
1635,"[29, 42, 24, 74, 15, 59, 63, 62, 11, 69]"
1636,"[72, 69, 24, 68, 59, 33, 31, 40, 26, 76]"
1637,"[18, 43, 71, 79, 46, 52, 63, 35, 51, 58]"
1638,"[80, 41, 55, 42, 57, 45, 12, 69, 60, 64]"
1639,"[50, 47, 53, 42, 19, 4, 27, 59, 21, 23]"
1640,"[57, 56, 73, 42, 30, 60, 31, 61, 4, 29]"
1641,"[64, 54, 65, 22, 31, 4, 21, 71, 62, 52]"
1642,"[74, 76, 35, 39, 70, 42, 31, 62, 24, 65]"
1643,"[65, 51, 72, 17, 41, 56, 18, 2, 61, 9]"
1644,"[71, 10, 68, 9, 58, 56, 20, 39, 36, 19]"
1645,"[72, 36, 31, 13, 24, 35, 27, 63, 68, 37]"
1646,"[77, 75, 45, 11, 43, 20, 40, 21, 15, 23]"
1647,"[34, 41, 2, 72, 36, 19, 31, 25, 33, 20]"
1648,"[61, 74, 32, 17, 77, 73, 67, 28, 78, 76]"
1649,"[17, 46, 20, 47, 13, 52, 56, 62, 48, 68]"
1650,"[25, 26, 40, 14, 44, 6, 39, 51, 45, 23]"
1651,"[19, 6, 14, 61, 5, 52, 3, 25, 56, 30]"
1652,"[12, 59, 11, 4, 21, 34, 54, 56, 2, 79]"
1653,"[58, 56, 43, 2, 22, 62, 52, 20, 29, 78]"
1654,"[76, 29, 27, 69, 33, 3, 26, 48, 18, 35]"
1655,"[17, 78, 8, 80, 6, 79, 63, 28, 50, 11]"
1656,"[61, 40, 25, 27, 22, 68, 31, 65, 21, 35]"
1657,"[59, 57, 43, 64, 39, 31, 12, 26, 22, 37]"
1658,"[31, 66, 27, 50, 28, 80, 21, 77, 35, 3]"
1659,"[77, 2, 13, 51, 41, 74, 75, 37, 70, 33]"
1660,"[61, 7, 59, 62, 44, 52, 24, 73, 63, 2]"
1661,"[21, 69, 40, 39, 43, 11, 25, 8, 36, 18]"
1662,"[45, 79, 39, 48, 54, 58, 47, 59, 30, 25]"
1663,"[50, 32, 76, 57, 19, 51, 55, 45, 79, 34]"
1664,"[33, 66, 55, 71, 20, 25, 77, 43, 16, 2]"
1665,"[54, 37, 21, 58, 75, 63, 26, 51, 57, 38]"
1666,"[56, 39, 15, 51, 36, 62, 3, 33, 24, 80]"
1667,"[80, 51, 74, 13, 17, 30, 12, 23, 53, 41]"
1668,"[9, 69, 46, 10, 73, 6, 53, 74, 11, 30]"
1669,"[49, 41, 26, 71, 2, 64, 75, 13, 10, 73]"
1670,"[26, 41, 11, 47, 54, 27, 31, 80, 14, 63]"
1671,"[78, 57, 58, 9, 45, 48, 43, 51, 12, 50]"
1672,"[7, 66, 20, 10, 18, 45, 4, 72, 8, 68]"
1673,"[52, 15, 61, 74, 21, 53, 37, 54, 6, 56]"
1674,"[29, 52, 58, 78, 79, 71, 66, 5, 4, 34]"
1675,"[44, 23, 31, 65, 4, 28, 75, 41, 25, 14]"
1676,"[6, 58, 67, 17, 19, 78, 59, 52, 26, 9]"
1677,"[66, 50, 39, 2, 9, 79, 27, 4, 47, 18]"
1678,"[22, 48, 43, 54, 67, 62, 5, 35, 10, 47]"
1679,"[1, 2, 65, 48, 22, 54, 9, 72, 39, 53]"
1680,"[56, 10, 37, 32, 25, 63, 13, 8, 27, 66]"
1681,"[1, 38, 67, 32, 47, 71, 61, 48, 55, 51]"
1682,"[5, 41, 39, 25, 17, 30, 21, 79, 9, 77]"
1683,"[80, 54, 25, 9, 10, 52, 41, 23, 53, 47]"
1684,"[26, 17, 43, 14, 28, 80, 10, 40, 32, 19]"
1685,"[10, 45, 46, 15, 49, 61, 70, 7, 39, 1]"
1686,"[63, 2, 50, 57, 54, 76, 37, 64, 61, 45]"
1687,"[76, 15, 75, 54, 36, 33, 37, 16, 25, 67]"
1688,"[41, 19, 16, 58, 25, 7, 59, 5, 61, 80]"
1689,"[34, 24, 29, 47, 27, 75, 57, 52, 4, 70]"
1690,"[63, 49, 22, 72, 65, 43, 64, 3, 67, 17]"
1691,"[15, 16, 56, 78, 55, 8, 1, 47, 65, 67]"
1692,"[45, 43, 37, 4, 13, 73, 78, 44, 36, 3]"
1693,"[13, 57, 58, 9, 76, 29, 41, 60, 16, 11]"
1694,"[79, 65, 4, 26, 33, 7, 59, 78, 53, 60]"
1695,"[42, 44, 55, 48, 52, 71, 6, 64, 27, 58]"
1696,"[19, 60, 54, 70, 41, 9, 29, 15, 5, 72]"
1697,"[60, 55, 73, 4, 6, 78, 45, 26, 80, 54]"
1698,"[67, 39, 46, 22, 79, 44, 24, 3, 19, 10]"
1699,"[68, 50, 78, 66, 61, 69, 65, 22, 32, 54]"
1700,"[77, 63, 72, 34, 10, 31, 43, 33, 21, 57]"
1701,"[10, 48, 15, 23, 37, 58, 53, 1, 77, 38]"
1702,"[5, 58, 30, 70, 54, 44, 62, 40, 8, 18]"
1703,"[16, 47, 20, 32, 76, 21, 36, 8, 15, 38]"
1704,"[18, 46, 57, 76, 39, 80, 7, 5, 38, 33]"
1705,"[75, 63, 53, 33, 38, 37, 18, 50, 71, 47]"
1706,"[34, 32, 14, 23, 61, 74, 42, 54, 9, 72]"
1707,"[56, 75, 57, 71, 40, 11, 35, 17, 30, 50]"
1708,"[46, 38, 1, 77, 15, 51, 11, 68, 42, 8]"
1709,"[76, 59, 19, 10, 4, 50, 16, 13, 65, 25]"
1710,"[71, 40, 29, 69, 76, 49, 80, 79, 22, 68]"
1711,"[51, 20, 65, 9, 8, 21, 18, 61, 29, 2]"
1712,"[72, 80, 34, 31, 36, 18, 65, 51, 70, 33]"
1713,"[21, 59, 9, 64, 12, 67, 39, 31, 71, 14]"
1714,"[51, 24, 57, 35, 77, 62, 4, 46, 31, 32]"
1715,"[62, 46, 42, 41, 73, 49, 32, 16, 43, 79]"
1716,"[21, 13, 47, 11, 71, 73, 60, 53, 54, 67]"
1717,"[6, 69, 62, 8, 18, 79, 49, 15, 54, 11]"
1718,"[12, 60, 73, 17, 16, 43, 77, 28, 70, 25]"
1719,"[58, 73, 28, 8, 45, 76, 71, 17, 40, 60]"
1720,"[61, 33, 73, 28, 60, 30, 56, 20, 40, 63]"
1721,"[37, 29, 27, 10, 33, 42, 64, 67, 77, 60]"
1722,"[27, 31, 11, 30, 35, 53, 55, 72, 39, 78]"
1723,"[32, 29, 66, 14, 34, 68, 79, 21, 7, 48]"
1724,"[69, 9, 77, 28, 37, 8, 40, 39, 21, 51]"
1725,"[75, 19, 71, 57, 44, 9, 50, 26, 42, 66]"
1726,"[5, 52, 73, 29, 15, 9, 11, 49, 80, 7]"
1727,"[22, 15, 60, 16, 33, 7, 69, 19, 34, 24]"
1728,"[68, 27, 39, 35, 63, 74, 40, 37, 50, 29]"
1729,"[34, 79, 69, 12, 77, 23, 68, 62, 16, 45]"
1730,"[62, 59, 57, 21, 33, 53, 35, 1, 68, 20]"
1731,"[70, 25, 76, 2, 73, 15, 43, 14, 50, 35]"
1732,"[52, 41, 8, 66, 16, 9, 23, 7, 27, 63]"
1733,"[60, 43, 15, 66, 69, 17, 54, 23, 1, 35]"
1734,"[59, 56, 36, 25, 8, 66, 29, 46, 18, 58]"
1735,"[78, 45, 51, 11, 74, 65, 15, 27, 39, 55]"
1736,"[60, 52, 65, 33, 22, 77, 27, 61, 54, 78]"
1737,"[15, 25, 10, 7, 28, 29, 45, 59, 80, 39]"
1738,"[26, 13, 2, 5, 78, 17, 72, 9, 44, 38]"
1739,"[33, 43, 30, 7, 70, 64, 69, 80, 65, 36]"
1740,"[28, 17, 73, 37, 31, 20, 77, 52, 79, 41]"
1741,"[73, 13, 17, 58, 26, 76, 18, 46, 54, 50]"
1742,"[19, 37, 24, 43, 80, 40, 7, 11, 2, 51]"
1743,"[1, 8, 58, 25, 18, 27, 40, 13, 28, 4]"
1744,"[5, 65, 22, 46, 6, 38, 13, 18, 57, 71]"
1745,"[28, 34, 44, 55, 37, 59, 29, 80, 5, 70]"
1746,"[56, 62, 7, 63, 5, 61, 24, 53, 55, 41]"
1747,"[50, 49, 24, 43, 26, 48, 67, 76, 53, 40]"
1748,"[67, 11, 37, 70, 63, 22, 55, 1, 38, 65]"
1749,"[67, 80, 38, 59, 41, 51, 18, 72, 53, 34]"
1750,"[51, 34, 52, 16, 69, 77, 9, 61, 24, 79]"
1751,"[20, 36, 23, 61, 22, 28, 29, 75, 67, 38]"
1752,"[54, 39, 68, 38, 57, 14, 45, 15, 47, 2]"
1753,"[14, 12, 1, 73, 48, 19, 46, 75, 16, 42]"
1754,"[21, 61, 71, 11, 31, 29, 6, 8, 49, 53]"
1755,"[42, 80, 20, 44, 22, 19, 71, 53, 11, 75]"
1756,"[4, 60, 44, 10, 27, 41, 21, 62, 22, 23]"
1757,"[31, 23, 33, 15, 42, 54, 38, 1, 24, 46]"
1758,"[18, 41, 60, 14, 48, 69, 5, 39, 80, 51]"
1759,"[59, 42, 19, 28, 29, 9, 26, 55, 8, 14]"
1760,"[8, 17, 30, 61, 16, 49, 24, 21, 50, 12]"
1761,"[30, 67, 55, 59, 71, 78, 34, 53, 52, 36]"
1762,"[63, 34, 25, 44, 14, 1, 50, 23, 27, 24]"
1763,"[70, 80, 53, 66, 45, 48, 31, 52, 79, 37]"
1764,"[78, 75, 53, 14, 68, 63, 49, 51, 9, 18]"
1765,"[44, 7, 72, 50, 31, 16, 71, 62, 13, 43]"
1766,"[5, 20, 13, 58, 15, 57, 50, 80, 28, 64]"
1767,"[15, 13, 20, 73, 18, 25, 22, 28, 63, 8]"
1768,"[78, 76, 79, 70, 10, 12, 47, 71, 39, 30]"
1769,"[16, 26, 31, 53, 75, 72, 61, 49, 50, 58]"
1770,"[37, 47, 27, 24, 1, 13, 21, 16, 11, 12]"
1771,"[9, 67, 7, 36, 2, 14, 30, 59, 10, 1]"
1772,"[48, 51, 4, 41, 18, 69, 68, 72, 47, 27]"
1773,"[47, 1, 2, 7, 61, 17, 35, 78, 44, 66]"
1774,"[41, 53, 49, 2, 67, 70, 26, 75, 68, 42]"
1775,"[7, 61, 50, 43, 56, 79, 24, 69, 66, 23]"
1776,"[59, 22, 47, 31, 62, 24, 75, 36, 43, 70]"
1777,"[10, 16, 33, 25, 76, 51, 63, 8, 69, 55]"
1778,"[35, 16, 67, 73, 79, 31, 22, 36, 44, 76]"
1779,"[66, 57, 4, 48, 28, 37, 3, 33, 42, 47]"
1780,"[36, 6, 33, 48, 26, 19, 63, 2, 44, 59]"
1781,"[55, 40, 10, 48, 14, 34, 76, 47, 68, 38]"
1782,"[51, 26, 70, 47, 1, 38, 3, 76, 78, 10]"
1783,"[57, 54, 56, 28, 20, 19, 74, 55, 3, 78]"
1784,"[56, 13, 16, 60, 76, 32, 3, 1, 39, 37]"
1785,"[6, 74, 15, 46, 37, 44, 65, 1, 47, 61]"
1786,"[60, 2, 16, 30, 32, 57, 5, 19, 29, 10]"
1787,"[26, 65, 67, 6, 49, 27, 21, 42, 31, 51]"
1788,"[50, 69, 40, 55, 78, 2, 23, 54, 59, 60]"
1789,"[43, 58, 9, 4, 60, 12, 25, 37, 66, 79]"
1790,"[28, 35, 79, 65, 50, 24, 2, 48, 31, 14]"
1791,"[42, 69, 1, 23, 76, 31, 43, 58, 22, 79]"
1792,"[67, 35, 23, 20, 54, 79, 46, 28, 6, 44]"
1793,"[69, 9, 17, 36, 38, 27, 21, 50, 40, 14]"
1794,"[38, 70, 67, 32, 71, 39, 47, 61, 27, 1]"
1795,"[21, 54, 49, 55, 41, 18, 72, 71, 52, 75]"
1796,"[8, 64, 57, 55, 11, 28, 23, 12, 72, 56]"
1797,"[41, 56, 19, 26, 25, 37, 53, 50, 28, 77]"
1798,"[77, 29, 54, 58, 36, 37, 12, 46, 17, 48]"
1799,"[79, 7, 56, 59, 10, 70, 28, 78, 40, 68]"
1800,"[53, 69, 73, 35, 64, 60, 27, 65, 15, 72]"
1801,"[51, 37, 74, 57, 6, 62, 27, 54, 43, 39]"
1802,"[12, 19, 3, 63, 23, 56, 76, 44, 5, 60]"
1803,"[20, 57, 69, 19, 21, 13, 64, 49, 43, 72]"
1804,"[45, 11, 36, 77, 22, 47, 38, 16, 13, 73]"
1805,"[13, 55, 67, 63, 39, 72, 44, 18, 46, 16]"
1806,"[16, 38, 2, 75, 41, 70, 63, 24, 55, 28]"
1807,"[52, 77, 12, 37, 60, 9, 14, 71, 31, 39]"
1808,"[13, 24, 80, 21, 11, 22, 79, 17, 30, 1]"
1809,"[45, 21, 72, 23, 2, 47, 51, 4, 17, 29]"
1810,"[10, 36, 46, 33, 31, 49, 71, 8, 69, 76]"
1811,"[49, 7, 67, 25, 32, 71, 66, 63, 41, 59]"
1812,"[10, 38, 71, 70, 66, 74, 43, 30, 28, 49]"
1813,"[1, 35, 75, 39, 27, 7, 62, 29, 55, 46]"
1814,"[4, 78, 47, 49, 37, 66, 68, 65, 56, 63]"
1815,"[78, 18, 28, 44, 2, 67, 15, 25, 45, 1]"
1816,"[27, 73, 80, 64, 48, 77, 61, 45, 76, 34]"
1817,"[68, 67, 80, 51, 52, 43, 79, 13, 39, 3]"
1818,"[38, 28, 46, 7, 67, 29, 75, 51, 62, 22]"
1819,"[64, 67, 71, 61, 47, 20, 22, 45, 12, 42]"
1820,"[4, 60, 51, 7, 11, 75, 74, 43, 53, 16]"
1821,"[52, 29, 25, 34, 78, 59, 33, 67, 32, 77]"
1822,"[41, 54, 28, 14, 32, 62, 39, 67, 66, 37]"
1823,"[55, 54, 35, 20, 13, 72, 80, 62, 67, 19]"
1824,"[38, 76, 29, 43, 19, 61, 5, 44, 17, 77]"
1825,"[51, 5, 59, 62, 28, 61, 67, 78, 69, 55]"
1826,"[59, 22, 35, 66, 13, 25, 15, 36, 12, 49]"
1827,"[33, 71, 77, 5, 41, 38, 14, 55, 21, 7]"
1828,"[76, 43, 35, 37, 7, 72, 39, 4, 28, 22]"
1829,"[38, 52, 34, 4, 67, 1, 39, 49, 55, 24]"
1830,"[80, 38, 60, 55, 3, 76, 54, 20, 24, 65]"
1831,"[74, 2, 53, 60, 80, 39, 64, 58, 36, 34]"
1832,"[55, 44, 58, 14, 70, 4, 33, 61, 32, 68]"
1833,"[56, 60, 12, 68, 62, 76, 29, 57, 14, 44]"
1834,"[25, 43, 48, 58, 54, 63, 55, 29, 24, 80]"
1835,"[63, 41, 65, 28, 18, 30, 4, 74, 80, 47]"
1836,"[79, 13, 30, 28, 49, 80, 64, 1, 6, 61]"
1837,"[4, 31, 20, 15, 47, 9, 43, 59, 72, 7]"
1838,"[32, 30, 27, 20, 44, 6, 2, 28, 48, 46]"
1839,"[31, 29, 40, 74, 7, 26, 47, 50, 64, 71]"
1840,"[48, 37, 38, 68, 13, 58, 66, 33, 75, 29]"
1841,"[51, 55, 45, 46, 62, 53, 21, 69, 12, 31]"
1842,"[4, 6, 24, 79, 25, 62, 2, 41, 16, 63]"
1843,"[59, 40, 65, 34, 71, 50, 17, 72, 39, 22]"
1844,"[30, 1, 51, 79, 63, 4, 16, 65, 18, 75]"
1845,"[60, 78, 4, 72, 58, 10, 37, 75, 59, 33]"
1846,"[7, 46, 5, 23, 43, 37, 34, 25, 20, 6]"
1847,"[26, 1, 46, 19, 2, 17, 39, 16, 35, 77]"
1848,"[63, 54, 23, 8, 3, 31, 72, 36, 47, 43]"
1849,"[67, 79, 4, 65, 21, 74, 43, 32, 68, 41]"
1850,"[9, 48, 59, 44, 6, 33, 71, 5, 79, 28]"
1851,"[39, 2, 5, 80, 74, 50, 7, 24, 23, 60]"
1852,"[72, 34, 13, 19, 46, 4, 41, 12, 5, 39]"
1853,"[21, 63, 32, 17, 23, 50, 38, 52, 10, 3]"
1854,"[34, 73, 6, 43, 7, 77, 60, 65, 76, 27]"
1855,"[73, 3, 69, 56, 65, 27, 44, 30, 76, 49]"
1856,"[60, 70, 37, 75, 23, 7, 72, 65, 50, 46]"
1857,"[63, 59, 40, 9, 1, 74, 34, 50, 37, 6]"
1858,"[53, 80, 78, 29, 39, 7, 57, 34, 25, 68]"
1859,"[13, 71, 26, 51, 55, 31, 58, 50, 23, 10]"
1860,"[52, 75, 72, 57, 29, 76, 17, 50, 74, 23]"
1861,"[19, 76, 21, 9, 5, 48, 7, 42, 69, 12]"
1862,"[24, 9, 66, 6, 2, 75, 8, 44, 1, 14]"
1863,"[17, 43, 62, 57, 16, 37, 71, 6, 64, 28]"
1864,"[14, 39, 49, 73, 8, 33, 22, 59, 26, 36]"
1865,"[1, 9, 10, 55, 21, 73, 38, 72, 56, 7]"
1866,"[67, 9, 16, 78, 5, 80, 50, 71, 41, 65]"
1867,"[53, 80, 36, 77, 35, 76, 74, 10, 52, 51]"
1868,"[74, 27, 54, 69, 21, 26, 48, 29, 65, 17]"
1869,"[58, 11, 64, 32, 59, 68, 71, 5, 79, 17]"
1870,"[3, 13, 52, 31, 27, 43, 80, 71, 79, 41]"
1871,"[26, 66, 58, 15, 3, 36, 10, 53, 71, 2]"
1872,"[57, 59, 34, 35, 9, 38, 58, 24, 32, 76]"
1873,"[51, 73, 54, 26, 69, 18, 30, 72, 60, 13]"
1874,"[70, 49, 72, 60, 14, 20, 35, 25, 73, 63]"
1875,"[50, 23, 12, 24, 27, 3, 74, 35, 63, 1]"
1876,"[22, 38, 73, 37, 50, 47, 12, 56, 58, 55]"
1877,"[70, 25, 20, 30, 60, 11, 48, 2, 69, 67]"
1878,"[36, 43, 29, 23, 78, 5, 39, 3, 44, 7]"
1879,"[64, 46, 36, 28, 24, 4, 29, 16, 77, 51]"
1880,"[40, 50, 59, 22, 72, 80, 42, 67, 3, 70]"
1881,"[33, 23, 63, 35, 69, 41, 54, 49, 7, 2]"
1882,"[54, 65, 12, 43, 14, 33, 64, 69, 11, 62]"
1883,"[73, 36, 43, 35, 48, 8, 15, 72, 66, 46]"
1884,"[14, 53, 26, 33, 74, 11, 31, 29, 19, 52]"
1885,"[80, 29, 40, 14, 24, 22, 47, 55, 12, 9]"
1886,"[17, 25, 42, 72, 68, 54, 80, 39, 8, 70]"
1887,"[2, 19, 34, 53, 78, 64, 7, 40, 71, 46]"
1888,"[45, 52, 57, 29, 50, 26, 38, 1, 53, 44]"
1889,"[42, 46, 56, 73, 55, 11, 19, 47, 33, 16]"
1890,"[53, 54, 45, 27, 44, 70, 15, 50, 24, 47]"
1891,"[43, 31, 13, 80, 4, 75, 26, 37, 34, 58]"
1892,"[4, 73, 3, 31, 24, 64, 20, 76, 40, 8]"
1893,"[12, 51, 14, 55, 6, 53, 41, 54, 62, 61]"
1894,"[65, 30, 59, 40, 25, 21, 78, 76, 34, 60]"
1895,"[28, 37, 77, 22, 16, 50, 65, 21, 34, 35]"
1896,"[51, 64, 74, 52, 15, 28, 49, 53, 46, 56]"
1897,"[4, 43, 23, 79, 9, 8, 66, 18, 36, 21]"
1898,"[28, 42, 14, 62, 9, 66, 27, 67, 45, 11]"
1899,"[40, 29, 35, 18, 73, 45, 64, 48, 14, 19]"
1900,"[22, 38, 60, 72, 78, 9, 12, 3, 34, 66]"
1901,"[15, 38, 19, 55, 29, 45, 46, 62, 67, 58]"
